Player,Predicted_3P%,TEAM
P.J. Washington,0.36781961284595466,DAL
PJ Dozier,0.5735635629615764,MIN
PJ Hall,0.2392708342280232,DEN
Pacôme Dadiet,0.3407709683377525,NYK
Paolo Banchero,0.3701328827497179,ORL
Pascal Siakam,0.3732463237037995,IND
Pat Connaughton,0.327604917857464,MIL
Pat Spencer,0.2291723313758429,GSW
Patrick Baldwin Jr.,0.5073653808457214,LAC
Patrick Williams,0.3496238903420399,CHI
Patty Mills,0.30881979568684637,LAC
Paul George,0.3762126971657459,PHI
Paul Reed,0.32150864439869337,DET
Payton Pritchard,0.4119887069681407,BOS
Pelle Larsson,0.32773297119272343,MIA
Pete Nance,0.2606028665797111,MIL
Peyton Watson,0.34550619777152414,DEN
Precious Achiuwa,0.2753497099839535,NYK
Quentin Grimes,0.39495426917529314,PHI
Quenton Jackson,0.373170375866321,IND
Quincy Olivari,0.2086751121768763,LAL
Quinten Post,0.4109847139247806,GSW
RJ Barrett,0.37200963505260154,TOR
RayJ Dennis,0.1363606939394115,IND
Rayan Rupert,0.23167848906319854,POR
Reece Beekman,0.19069011948695955,BKN
Reed Sheppard,0.2958936218512768,HOU
Reggie Jackson,0.3364501651005804,PHI
Richaun Holmes,0.19777664335335948,WAS
Ricky Council IV,0.31929435996724953,PHI
Riley Minix,0.0,SAS
Rob Dillingham,0.35173253334460497,MIN
Robert Williams III,0.3754491421055116,POR
Ronald Holland II,0.24010937607312496,DET
Royce O'Neale,0.38787091687287634,PHX
Rudy Gobert,0.032381251095548486,MIN
Rui Hachimura,0.38487072651058546,LAL
Russell Westbrook,0.36714348158299565,DEN
Ryan Dunn,0.34683492684118933,PHX
Ryan Rollins,0.37738389615316525,MIL
Sam Hauser,0.39663447805892366,BOS
Sam Merrill,0.36549295633555556,CLE
Sandro Mamukelashvili,0.39336781512427543,SAS
Santi Aldama,0.39298151519180147,MEM
Scoot Henderson,0.37095071500260934,POR
Scottie Barnes,0.34183206752546286,TOR
Scotty Pippen Jr.,0.37882375919272987,MEM
Seth Curry,0.41535221725025523,CHA
Shaedon Sharpe,0.380008288298262,POR
Shai Gilgeous-Alexander,0.385741907878744,OKC
Shake Milton,0.35807482098690896,LAL
Sidy Cissoko,0.5032554556584256,POR
Simone Fontecchio,0.3331910001560402,DET
Skal Labissiere,0.961005,SAC
Spencer Dinwiddie,0.3560672129239514,DAL
Spencer Jones,0.14347783409340958,DEN
Stanley Umude,0.13512398671961715,MIL
